country,beer_servings,spirit_servings,wine_servings,total_litres_of_pure_alcohol
Afghanistan,0,0,0,0.0
Albania,89,132,54,4.9
Algeria,25,0,14,0.7
Andorra,245,138,312,12.4
Angola,217,57,45,5.9
Antigua & Barbuda,102,128,45,4.9
Argentina,193,25,221,8.3
Armenia,21,179,11,3.8
Australia,261,72,212,10.4
Austria,279,75,191,9.7
Azerbaijan,21,46,5,1.3
Bahamas,122,176,51,6.3
Bahrain,42,63,7,2.0
Bangladesh,0,0,0,0.0
Barbados,143,173,36,6.3
Belarus,142,373,42,14.4
Belgium,295,84,212,10.5
Belize,263,114,8,6.8
Benin,34,4,13,1.1
Bhutan,23,0,0,0.4
Bolivia,167,41,8,3.8
Bosnia-Herzegovina,76,173,8,4.6
Botswana,173,35,35,5.4
Brazil,245,145,16,7.2
Brunei,31,2,1,0.6
Bulgaria,231,252,94,10.3
Burkina Faso,25,7,7,4.3
Burundi,88,0,0,6.3
Cote d'Ivoire,37,1,7,4.0
Cabo Verde,144,56,16,4.0
Cambodia,57,65,1,2.2
Cameroon,147,1,4,5.8
Canada,240,122,100,8.2
Central African Republic,17,2,1,1.8
Chad,15,1,1,0.4
Chile,130,124,172,7.6
China,79,192,8,5.0
Colombia,159,76,3,4.2
Comoros,1,3,1,0.1
Congo,76,1,9,1.7
Cook Islands,0,254,74,5.9
Costa Rica,149,87,11,4.4
Croatia,230,87,254,10.2
Cuba,93,137,5,4.2
Cyprus,192,154,113,8.2
Czech Republic,361,170,134,11.8
