country,beer_servings,spirit_servings,wine_servings,total_litres_of_pure_alcohol
Madagascar,26,15,4,0.8
Malawi,8,11,1,1.5
Malaysia,13,4,0,0.3
Maldives,0,0,0,0.0
Mali,5,1,1,0.6
Malta,149,100,120,6.6
Marshall Islands,0,0,0,0.0
Mauritania,0,0,0,0.0
Mauritius,98,31,18,2.6
Mexico,238,68,5,5.5
Micronesia,62,50,18,2.3
Monaco,0,0,0,0.0
Mongolia,77,189,8,4.9
Montenegro,31,114,128,4.9
Morocco,12,6,10,0.5
Mozambique,47,18,5,1.3
Myanmar,5,1,0,0.1
Namibia,376,3,1,6.8
Nauru,49,0,8,1.0
Nepal,5,6,0,0.2
Netherlands,251,88,190,9.4
New Zealand,203,79,175,9.3
Nicaragua,78,118,1,3.5
Niger,3,2,1,0.1
Nigeria,42,5,2,9.1
Niue,188,200,7,7.0
Norway,169,71,129,6.7
Oman,22,16,1,0.7
Pakistan,0,0,0,0.0
Palau,306,63,23,6.9
Panama,285,104,18,7.2
Papua New Guinea,44,39,1,1.5
Paraguay,213,117,74,7.3
Peru,163,160,21,6.1
Philippines,71,186,1,4.6
Poland,343,215,56,10.9
Portugal,194,67,339,11.0
Qatar,1,42,7,0.9
South Korea,140,16,9,9.8
Moldova,109,226,18,6.3
Romania,297,122,167,10.4
Russian Federation,247,326,73,11.5
Rwanda,43,2,0,6.8
St. Kitts & Nevis,194,205,32,7.7
St. Lucia,171,315,71,10.1
St. Vincent & the Grenadines,120,221,11,6.3
Samoa,105,18,24,2.6
San Marino,0,0,0,0.0
Sao Tome & Principe,56,38,140,4.2
Saudi Arabia,0,5,0,0.1
Senegal,9,1,7,0.3
Serbia,283,131,127,9.6
Seychelles,157,25,51,4.1
Sierra Leone,25,3,2,6.7
Singapore,60,12,11,1.5
Slovakia,196,293,116,11.4
Slovenia,270,51,276,10.6
Solomon Islands,56,11,1,1.2
Somalia,0,0,0,0.0
South Africa,225,76,81,8.2
Spain,284,157,112,10.0
Sri Lanka,16,104,0,2.2
Sudan,8,13,0,1.7
Suriname,128,178,7,5.6
Swaziland,90,2,2,4.7
Sweden,152,60,186,7.2
Switzerland,185,100,280,10.2
Syria,5,35,16,1.0
Tajikistan,2,15,0,0.3
Thailand,99,258,1,6.4
Macedonia,106,27,86,3.9
Timor-Leste,1,1,4,0.1
Togo,36,2,19,1.3
Tonga,36,21,5,1.1
Trinidad & Tobago,197,156,7,6.4
Tunisia,51,3,20,1.3
Turkey,51,22,7,1.4
Turkmenistan,19,71,32,2.2
Tuvalu,6,41,9,1.0
Uganda,45,9,0,8.3
Ukraine,206,237,45,8.9
United Arab Emirates,16,135,5,2.8
United Kingdom,219,126,195,10.4
Tanzania,36,6,1,5.7
USA,249,158,84,8.7
Uruguay,115,35,220,6.6
Uzbekistan,25,101,8,2.4
Vanuatu,21,18,11,0.9
Venezuela,333,100,3,7.7
Vietnam,111,2,1,2.0
Yemen,6,0,0,0.1
Zambia,32,19,4,2.5
Zimbabwe,64,18,4,4.7
